topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,3,2.797125498453776,-61.4921875,-76.203125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,3,2.1880811055501304,-24.463043212890625,-31.19329833984375,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,3,2.797125498453776,-39.69775390625,-66.509765625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,3,2.1880811055501304,-33.55859375,-33.105224609375,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,3,2.797125498453776,-70.2669677734375,-74.77459716796875,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,3,1.8721335728963215,-45.673377990722656,-77.01715087890625,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,3,2.025780518849691,-37.91105651855469,-71.4765625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,3,1.8790559768676758,-30.9423828125,-56.23046875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,3,2.111936887105306,-47.8662109375,-60.4208984375,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,3,1.8790559768676758,-28.861328125,-41.76953125,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,3,2.111936887105306,-28.397705078125,-53.5078125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,3,1.8790559768676758,-22.363525390625,-42.806884765625,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,3,2.111936887105306,-38.2060546875,-39.39453125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,3,2.5176782608032227,-27.848384857177734,-67.02630615234375,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,3,2.2597250938415527,-49.046730041503906,-64.691162109375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,3,2.6508054733276367,-30.9345703125,-44.478515625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,3,2.431518872578939,-23.3349609375,-50.16796875,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,3,2.6508054733276367,-32.94921875,-49.109375,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,3,2.431518872578939,-61.05078125,-78.009765625,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,3,2.6508054733276367,-24.990509033203125,-31.065185546875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,3,2.431518872578939,-39.6650390625,-69.0927734375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,3,1.7893900275230408,-37.58935546875,-37.565185546875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,3,1.9486085573832195,-63.37415313720703,-76.99696350097656,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,3,1.716973344484965,-49.96133804321289,-82.04650115966797,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,3,1.9180512527624767,-38.620845794677734,-61.086448669433594,clairvoyant
