scene number,Start Time (s) ,End Time (s) ,"Start Time (TRs, 1.5s)","End Time (TRs, 1.5s)",scene number - concatenated,Start Time (s)  - concatenated,End Time (s)  - concatenated,"Start Time (TRs, 1.5s) - concatenated","End Time (TRs, 1.5s) - concatenated",Start Time (m.ss),scene title,Space-In/Outdoor or unknown,scene start time,scene end time,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online
39,470,501,314,335,145,1963,1994,1310,1331,7.5,"they drive through town, talking about languages,etc",Outdoor,7:50,8:21,3,7,6,4,8,5,6,4
40,502,519,336,347,146,1995,2012,1332,1343,8.22,"she drops him off, he doesn't pay in units",Indoor,8:22,8:39,5,8,6,8,4,6,4,3
41,520,549,348,367,147,2013,2042,1344,1363,8.4,"man goes into general store, multiple languages",Indoor,8:40,9:09,4,5,7,5,3,5,7,3
42,550,569,368,380,148,2043,2062,1364,1376,9.1,man asks for a map,Outdoor,9:10,9:29,2,7,5,6,7,6,8,4
43,570,578,381,386,149,2063,2071,1377,1382,9.3,map of village is general,Outdoor,9:30,9:38,4,10,8,9,9,6,8,4
44,579,601,387,402,150,2072,2094,1383,1398,9.39,"gets larger map, also general",Indoor,9:39,10:01,6,10,9,9,10,7,9,5
45,602,614,402,410,151,2095,2107,1398,1406,10.02,"asks for larger area map, told are none",Outdoor,10:02,10:14,8,9,8,7,9,7,9,5
46,615,622,411,416,152,2108,2115,1407,1412,10.15,"asks for car, told only taxis",Outdoor,10:15,10:22,8,8,7,9,8,5,7,4
47,623,635,416,424,153,2116,2128,1412,1420,10.23,leaves store,Outdoor,10:23,10:35,2,1,4,3,9,7,9,3
48,636,639,425,427,154,2129,2132,1421,1423,10.36,THE BLACK HOLE title,Indoor,10:36,10:39,5,5,1,NA,NA,NA,NA,NA
49,640,656,428,438,155,2133,2149,1424,1434,10.4,"office scene, man making copies, hits copier",Outdoor,10:40,10:56,2,5,2,3,3,6,4,2
50,657,671,439,448,156,2150,2164,1435,1444,10.57,copy machine makes big black dots,Outdoor,10:57,11:11,3,6,2,6,3,7,7,2
51,672,676,449,452,157,2165,2169,1445,1448,11.12,"man puts coffee cup on black hole, disappears",Indoor,11:12,11:16,10,8,8,9,8,7,8,4
52,677,699,452,467,158,2170,2192,1448,1463,11.17,"man puts hand in black hole, pulls out cup",Outdoor,11:17,11:39,10,9,6,9,10,8,9,5
53,700,708,468,473,159,2193,2201,1464,1469,11.4,man puts arm in black hole,Outdoor,11:40,11:48,8,10,5,7,9,8,10,7
54,709,726,474,485,160,2202,2219,1470,1481,11.49,"man puts hole on vending machine, grabs candy",Outdoor,11:49,12:06,10,8,7,9,5,8,9,7
55,727,739,486,494,161,2220,2232,1482,1490,12.07,"man puts hole on office door, unlocks",Outdoor,12:07,12:19,10,7,6,7,10,6,10,6
56,740,765,494,511,162,2233,2258,1490,1507,12.2,"man puts hole on safe, reaches in for cash",Outdoor,12:20,12:45,10,8,6,9,10,8,10,8
57,766,773,512,516,163,2259,2266,1508,1512,12.46,"man crawls in safe, disappears, black hole falls off",Indoor,12:46,12:53,10,10,10,10,10,10,10,9
58,774,782,517,522,164,2267,2275,1513,1518,12.54,"man locked inside safe, camera pans out",Indoor,12:54,13:02,10,9,8,9,6,10,10,7
59,783,786,523,525,165,2276,2279,1519,1521,13.03,POST-IT LOVE title,Indoor,13:03,13:06,4,5,1,NA,NA,NA,NA,NA
60,787,789,526,527,166,2280,2282,1522,1523,13.07,"photo on wall, ""post-it love""",Indoor,13:07,13:09,4,6,3,1,1,4,2,1
61,790,800,528,534,167,2283,2293,1524,1530,13.1,woman in office at copy machine,Outdoor,13:10,13:20,2,5,4,2,1,5,1,1
62,801,818,535,546,168,2294,2311,1531,1542,13.21,"pans to man at next copy machine, shows them each working",Outdoor,13:21,13:38,4,5,5,2,7,5,4,3
